;time;open;high;low;close;tick_volume;spread;real_volume
6101;2017-09-04 22:00:00;0.95752;0.95868;0.95734;0.95782;26638;23;0
6102;2017-09-04 23:00:00;0.95782;0.95828;0.95742;0.95773;26037;22;0
6103;2017-09-05 00:00:00;0.95788;0.95797;0.95737;0.95773;7099;26;0
6104;2017-09-05 01:00:00;0.95773;0.95864;0.95757;0.95793;31183;9;0
6105;2017-09-05 02:00:00;0.95793;0.95899;0.95793;0.9588;21065;5;0
6106;2017-09-05 03:00:00;0.95877;0.95879;0.95782;0.95784;17474;5;0
6107;2017-09-05 04:00:00;0.95784;0.95822;0.95729;0.95767;16245;4;0
6108;2017-09-05 05:00:00;0.95767;0.95768;0.95536;0.95597;18528;5;0
6109;2017-09-05 06:00:00;0.95598;0.95598;0.95473;0.95534;18969;4;0
6110;2017-09-05 07:00:00;0.95534;0.95598;0.95433;0.95574;17570;4;0
6111;2017-09-05 08:00:00;0.95574;0.95621;0.95542;0.95615;14975;5;0
6112;2017-09-05 09:00:00;0.95611;0.95754;0.9559;0.95632;14709;4;0
6113;2017-09-05 10:00:00;0.95631;0.95943;0.95597;0.95934;20991;4;0
6114;2017-09-05 11:00:00;0.95934;0.96144;0.95896;0.9599;17849;4;0
6115;2017-09-05 12:00:00;0.9599;0.96066;0.95922;0.95961;14993;4;0
6116;2017-09-05 13:00:00;0.95961;0.95989;0.95808;0.95883;18417;4;0
6117;2017-09-05 14:00:00;0.95881;0.96053;0.95859;0.95999;16655;4;0
6118;2017-09-05 15:00:00;0.95998;0.95999;0.95742;0.95837;18472;4;0
6119;2017-09-05 16:00:00;0.95837;0.95965;0.95771;0.9595;19884;4;0
6120;2017-09-05 17:00:00;0.9595;0.95953;0.95492;0.95628;25558;4;0
6121;2017-09-05 18:00:00;0.95626;0.95806;0.95537;0.95762;20063;4;0
6122;2017-09-05 19:00:00;0.95762;0.95777;0.95518;0.95543;17732;5;0
6123;2017-09-05 20:00:00;0.95543;0.95656;0.95515;0.95606;16269;4;0
